Player,Pos,MP,Min,Mn/MP,Player_ID,Calculated_Mn_MP,Mn_MP_Difference
Mohamed Hany,DF,5,480.0,96.0,9bcf1513,96.0,0.0
Moteb Al-Harbi,DF,3,188.0,63.0,1d88554c,62.666666666666664,0.3333333333333357
Saleh Hardani,DF,2,90.0,45.0,3a9b682b,45.0,0.0
Carlos Harvey,MF,3,267.0,89.0,3f18600c,89.0,0.0
Akam Hashim,DF,3,270.0,90.0,f8416e89,90.0,0.0
Haissem Hassan,MF,2,126.0,63.0,e0979e74,63.0,0.0
Abdulaziz Hatem,MF,1,45.0,45.0,c5065ef8,45.0,0.0
Jorrel Hato,DF,1,35.0,35.0,bde35051,35.0,0.0
Hassan Al-Haydos,MF,2,57.0,29.0,41bd6c64,28.5,0.5
Jan Paul van Hecke,DF,4,390.0,98.0,4fd08daa,97.5,0.5
Torbjørn Heggem,DF,5,443.0,89.0,834fea76,88.6,0.4000000000000057
Alaa Al Hejji,MF,2,32.0,16.0,6d258576,16.0,0.0
Jordan Henderson,MF,1,7.0,7.0,935e6b8f,7.0,0.0
Jack Hendry,DF,3,270.0,90.0,ffed43e3,90.0,0.0
Theo Hernández,DF,5,257.0,51.0,d4c9725f,51.4,0.3999999999999986
Lucas Herrington,DF,2,210.0,105.0,6f808c85,105.0,0.0
Aaron Hickey,DF,1,74.0,74.0,1780bb4a,74.0,0.0
Isak Hien,DF,3,216.0,72.0,12806697,72.0,0.0
Piero Hincapié,DF,4,339.0,85.0,0c7a48f8,84.75,0.25
Tomáš Holeš,DF,2,153.0,77.0,e03c2d97,76.5,0.5
Robin Hranáč,DF,3,270.0,90.0,95d5aea2,90.0,0.0
Ajdin Hrustic,MF,2,80.0,40.0,1f2d714c,40.0,0.0
Al-Hashmi Al-Hussain,MF,1,32.0,32.0,c164fda2,32.0,0.0
Roger Ibanez,DF,1,45.0,45.0,82efe6fa,45.0,0.0
Yasser Ibrahim,DF,5,467.0,93.0,0b89ad1b,93.4,0.4000000000000057
Hwang In-beom,MF,3,263.0,88.0,92fa5d28,87.66666666666667,0.3333333333333286
Christ Inao Oulaï,MF,4,208.0,52.0,62709ee4,52.0,0.0
Zidane Iqbal,MF,3,188.0,63.0,6fa3c28e,62.666666666666664,0.3333333333333357
Jackson Irvine,MF,4,223.0,56.0,4637747c,55.75,0.25
Zaid Ismail,MF,2,117.0,59.0,c65effaa,58.5,0.5
Ko Itakura,DF,2,128.0,64.0,97d545ae,64.0,0.0
Jacob Italiano,DF,2,163.0,82.0,2eb0ee9a,81.5,0.5
Hiroki Ito,DF,4,360.0,90.0,204dded0,90.0,0.0
Junya Itō,MF,4,216.0,54.0,dbd3a428,54.0,0.0
Ismail Jakobs,DF,3,219.0,73.0,a0415710,73.0,0.0
Reece James,DF,5,319.0,64.0,1265a93a,63.8,0.20000000000000284
Amer Jamous,MF,1,15.0,15.0,32d4f1e1,15.0,0.0
Luca Jaquez,DF,2,78.0,39.0,a400da8e,39.0,0.0
Ardon Jashari,MF,3,72.0,24.0,889588db,24.0,0.0
Ali Jasim,MF,2,129.0,65.0,1a927a6f,64.5,0.5
Danley Jean-Jacques,MF,3,259.0,86.0,59fcbd6d,86.33333333333333,0.3333333333333286
Eom Ji-sung,MF,2,42.0,21.0,3a049da1,21.0,0.0
Kim Jin-gyu,MF,2,52.0,26.0,7c0479b1,26.0,0.0
Alistair Johnston,DF,5,450.0,90.0,4fb17e20,90.0,0.0
Frenkie de Jong,MF,4,328.0,82.0,1bacc518,82.0,0.0
Elijah Just,MF,3,264.0,88.0,0c295d6e,88.0,0.0
Ozan Kabak,DF,1,90.0,90.0,2d61d13a,90.0,0.0
Ferdi Kadioglu,DF,2,159.0,80.0,66c52a77,79.5,0.5
Kaku,MF,1,11.0,11.0,cb01ad74,11.0,0.0
Gédéon Kalulu,DF,1,6.0,6.0,dd211559,6.0,0.0
Daichi Kamada,MF,4,329.0,82.0,15b287da,82.25,0.25
Hossein Kanaanizadegan,DF,2,135.0,68.0,24353c25,67.5,0.5
Mohamed Kanno,MF,3,225.0,75.0,74ccf212,75.0,0.0
Steve Kapuadi,DF,2,180.0,90.0,3f3c941a,90.0,0.0
Bekhruz Karimov,DF,2,179.0,90.0,74cdaeba,89.5,0.5
Jesper Karlström,MF,2,138.0,69.0,e0a1f4eb,69.0,0.0
Nikola Katić,DF,4,317.0,79.0,35bd124a,79.25,0.25
Edo Kayembe,MF,3,160.0,53.0,f99b71de,53.333333333333336,0.3333333333333357
Franck Kessié,MF,4,346.0,87.0,05e19d6a,86.5,0.5
Abdullah Al-Khaibari,MF,3,180.0,60.0,ab47ae1c,60.0,0.0
Shoja' Khalilzadeh,DF,3,270.0,90.0,0aed29f1,90.0,0.0
Dostonbek Khamdamov,MF,2,103.0,52.0,d2dd2ffb,51.5,0.5
Rani Khedira,MF,3,149.0,50.0,59e4b92e,49.666666666666664,0.3333333333333357
Boualem Khoukhi,DF,3,270.0,90.0,7be5ad52,90.0,0.0
Abdukodir Khusanov,DF,3,270.0,90.0,d17ce930,90.0,0.0
Joshua Kimmich,DF,4,351.0,88.0,49296448,87.75,0.25
Orkun Kökçü,MF,3,153.0,51.0,9bf914b4,51.0,0.0
Sead Kolašinac,DF,4,337.0,84.0,3935e52e,84.25,0.25
Ghislain Konan,DF,3,269.0,90.0,6b2c894b,89.66666666666667,0.3333333333333286
Ibrahima Konaté,DF,2,60.0,30.0,5ed9b537,30.0,0.0
Ismaël Koné,MF,2,146.0,73.0,e0220b70,73.0,0.0
Manu Koné,MF,5,385.0,77.0,86574238,77.0,0.0
Ezri Konsa,DF,8,647.0,81.0,0313a347,80.875,0.125
Odilon Kossounou,DF,4,272.0,68.0,1f3afdcb,68.0,0.0
Kalidou Koulibaly,DF,2,161.0,81.0,da974c7b,80.5,0.5
Jules Koundé,DF,8,599.0,75.0,4d1666ff,74.875,0.125
Mateo Kovačić,MF,4,270.0,68.0,79c0821a,67.5,0.5
Ladislav Krejčí,DF,3,270.0,90.0,5b5c2228,90.0,0.0
Takefusa Kubo,MF,1,74.0,74.0,16aa3654,74.0,0.0
Maxence Lacroix,DF,3,241.0,80.0,277c49ed,80.33333333333333,0.3333333333333286
Gustaf Lagerbielke,DF,4,360.0,90.0,9e39fa2d,90.0,0.0
Ali Lajami,DF,3,149.0,50.0,46f7ab4f,49.666666666666664,0.3333333333333357
Sondre Langås,DF,1,25.0,25.0,107e4890,25.0,0.0
Aymeric Laporte,DF,8,727.0,91.0,119b9a8e,90.875,0.125
Richie Laryea,DF,5,429.0,86.0,276fdbe4,85.8,0.20000000000000284
Mohanad Lasheen,MF,4,359.0,90.0,8c041c7d,89.75,0.25
Rafael Leão,MF,5,158.0,32.0,20730eae,31.6,0.3999999999999986
Mathew Leckie,MF,1,60.0,60.0,b93b7882,60.0,0.0
Jefferson Lerma,MF,5,410.0,82.0,9b5ce51a,82.0,0.0
Philipp Lienhart,DF,2,180.0,90.0,302527b2,90.0,0.0
Erik Lira,MF,4,345.0,86.0,7b2c24ed,86.25,0.25
Marcos Llorente,DF,3,187.0,62.0,02c15616,62.333333333333336,0.3333333333333357
Giovani Lo Celso,MF,1,59.0,59.0,d7553721,59.0,0.0
Azarías Londoño,MF,3,56.0,19.0,31d68775,18.666666666666668,0.33333333333333215
Sidny Lopes Cabral,DF,3,285.0,95.0,20700569,95.0,0.0
Derrick Luckassen,DF,2,180.0,90.0,30a09cb5,90.0,0.0
Jhon Lucumí,DF,5,478.0,96.0,80490d7f,95.6,0.4000000000000057
Dodi Lukebakio,MF,3,164.0,55.0,0c61c77c,54.666666666666664,0.3333333333333357
Alexis Mac Allister,MF,8,750.0,94.0,83d074ff,93.75,0.25
Deiver Machado,DF,1,90.0,90.0,b3f8bdef,90.0,0.0
